ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
OPEN,M,0,1000,96,102,Clean & Jerk,211,Wesley Kitts,2023-06-16,2023 Grand Prix 1
OPEN,M,0,1000,96,102,Total,388,Wesley Kitts,2023-06-16,2023 Grand Prix 1
OPEN,M,0,1000,102,109,Snatch,177,Wesley Kitts,2021-08-03,2020 Olympic Games
OPEN,M,0,1000,102,109,Clean & Jerk,223,Wesley Kitts,2019-04-27,2019 Pan American Championships
OPEN,M,0,1000,102,109,Total,399,Wesley Kitts,2019-04-27,2019 Pan American Championships
OPEN,M,0,1000,109,>109,Snatch,170,Wesley Kitts,2018-10-06,caffeine and kilos
OPEN,M,0,1000,109,>109,Clean & Jerk,210,Wesley Kitts,2018-10-06,caffeine and kilos
OPEN,M,0,1000,109,>109,Total,380,Wesley Kitts,2018-10-06,caffeine and kilos
U11,F,0,11,0,30,Snatch,23,Brooklynn Vella,2023-08-06,Tommy Kono XVII Championships
U11,F,0,11,0,30,Clean & Jerk,29,Brooklynn Vella,2023-03-11,Bulldog Weightlifting 2023
U11,F,0,11,0,30,Total,50,Brooklynn Vella,2023-08-06,Tommy Kono XVII Championships
U11,F,0,11,30,33,Snatch,25,Thevini Withana,2022-10-30,Don Wilson Memorial Golden West Open
U11,F,0,11,30,33,Clean & Jerk,34,Brooklynn Vella,2024-06-12,"The 2024 Nike National Youth Championships, powered by Rogue"
U11,F,0,11,30,33,Total,59,Brooklynn Vella,2024-06-12,"The 2024 Nike National Youth Championships, powered by Rogue"
